cve_ent,municipalitie,population,total_cases,cases_rate,cases_rate_last_60_days,total_deaths,deaths_rate,deaths_rate_last_60_days,pct_obesity_up20years,pct_hypertension_up20years,pct_diabetes_up20years
12055,Taxco de Alarcon,112561,1499,1331.722354989739,111.93930402181928,221,196.3379856255719,5.330443048658061,34.79111331344062,20.75188259037872,12.600310013640389
12056,Tecoanapa,47593,302,634.5470972622024,212.2160821969617,23,48.32643455970416,14.708045300779526,31.984074178593445,16.048193069909733,11.20971549472514
12057,Tecpan de Galeana,66974,383,571.8637083047153,13.438050586794876,42,62.71090273837609,5.972466927464389,37.30568222331398,18.633844812722646,12.46568449900116
12058,Teloloapan,59123,193,326.4381036144986,47.35889586117078,41,69.34695465385721,5.07416741369687,29.009991882559223,20.296623490579446,11.454518818517327
12059,Tepecoacuilco de Trujano,32914,148,449.6566810475785,9.114662453667131,29,88.10840371878228,3.038220817889044,28.990788203331412,24.213334365241327,13.020445590519595
12060,Tetipac,14890,27,181.32975151108127,13.43183344526528,7,47.01141705842848,6.71591672263264,33.85292927686685,19.333796046650278,11.67145723545795
12061,Tixtla de Guerrero,44479,869,1953.730974167585,76.44056745880079,33,74.1923154747184,2.2482519840823763,36.08727796937175,18.763241659186622,12.188128244951713
12062,Tlacoachistlahuaca,24221,28,115.60216341191528,0.0,5,20.64324346641344,4.128648693282689,20.698069554192195,13.238048638506392,9.102572157093352
12063,Tlacoapa,10420,9,86.37236084452975,28.790786948176585,2,19.193857965451052,9.596928982725528,11.805668206849177,15.219854839527306,7.885697075289017
12064,Tlalchapa,12711,88,692.3137440012588,0.0,17,133.74242781842497,0.0,34.33603986078731,15.426027020937752,12.286951241754226
12065,Tlalixtaquilla de Maldonado,7626,52,681.8777865198007,52.45213742460005,7,91.7912404930501,0.0,24.29132415891628,19.967729755934947,9.786267585787616
12066,Tlapa de Comonfort,93574,970,1036.6127343065382,44.884262722551135,115,122.89738602603286,4.2746916878620125,30.4565443441975,16.95612110908549,8.902594012120908
12067,Tlapehuala,22706,283,1246.366599136792,13.212366775301684,37,162.95252356205407,8.808244516867788,34.19277824223315,18.96018580161893,12.461026332849165
12068,La Union de Isidoro Montes de Oca,26968,135,500.59329575793527,7.416196974191635,28,103.82675763868288,0.0,45.09998375783241,18.534553472378814,11.00786910790725
12069,Xalpatlahuac,12255,23,187.67849857201145,8.159934720522235,3,24.479804161566708,0.0,18.973099945546586,16.226229596215333,9.778506225312277
12070,Xochihuehuetlan,7398,33,446.0665044606651,0.0,7,94.62016761286834,0.0,22.782205770841756,21.213169195914187,12.770500548289078
12071,Xochistlahuaca,30222,169,559.1952882006485,26.470782873403483,10,33.088478591754345,9.926543577526305,32.4042538281593,12.557584451591069,11.863032374415484
12072,Zapotitlan Tablas,12587,14,111.22586795900531,0.0,3,23.834114562644,7.944704854214666,18.487768227984425,13.023331731022234,8.401271397485553
12073,Zirandaro,18228,156,855.8262014483212,0.0,6,32.91639236339697,0.0,33.327824528436196,19.20934160906223,12.12300666984964
12074,Zitlala,23871,56,234.5942775753006,4.189183528130368,3,12.567550584391103,0.0,26.397752632777514,14.992273103081368,10.760663130711793
12075,Eduardo Neri,52924,380,718.010732370947,37.79003854583932,60,113.37011563751796,0.0,37.52448951843432,14.84760876386523,11.366840481548808
12076,Acatepec,38738,13,33.55877949300428,2.581444576384945,3,7.744333729154835,2.581444576384945,19.092928153411396,12.534838048884328,6.855961341047247
12077,Marquelia,14269,96,672.7871609783447,42.04919756114654,11,77.09019552876866,7.008199593524424,37.89655753270538,17.37701988705628,10.064889016853796
12078,Cochoapa el Grande,19337,5,25.85716502042716,0.0,0,0.0,0.0,17.191374208852537,12.43712338643778,8.167744870649912
12079,Jose Joaquin de Herrera,17905,13,72.60541748115052,5.585032113934655,0,0.0,0.0,23.247895548481296,10.486994328320803,7.998616227700315
12080,Juchitan,7924,42,530.035335689046,25.239777889954567,6,75.7193336698637,12.619888944977284,35.28324417110322,19.48426751298989,10.184540544531465
12081,Iliatenco,11317,7,61.85384819298401,0.0,3,26.508792082707437,0.0,19.303996014505913,16.67951810418006,8.606969365185805
13001,Acatlan,22119,147,664.58700664587,4.52100004521,30,135.6300013563,0.0,31.40786519038882,16.735034898887292,12.546759655393332
13002,Acaxochitlan,46234,168,363.36894925812175,8.6516416490029,39,84.35350607777826,4.32582082450145,26.323704004164455,14.690248202180838,12.643358009875957
13003,Actopan,61311,651,1061.7996770563195,37.51365986527703,151,246.28533215899267,0.0,29.723371441794534,16.879757406369237,13.664497041542594
13004,Agua Blanca de Iturbide,9705,54,556.4142194744976,10.303967027305513,6,61.82380216383308,0.0,26.59181891950862,18.13617609546931,12.061128270134724
13005,Ajacuba,19882,211,1061.2614425108138,25.148375414948195,40,201.1870033195856,0.0,32.95502185789347,20.54334151434478,13.655548571906419
