cve_ent,state,case_rate,case_rate_last_60_days,death_rate,death_rate_last_60_days,population,pct_disability,pct_limitation,pct_mental_problem,pct_no_problems,average_years_finish,pct_no_med_insurance,pct_med_insurance,average_household_size,pct_household_tics,pct_household_no_tics,pct_pop_0_14_years_old,pct_pop_15_64_years_old,pct_pop_65_more_years_old
18,NAYARIT,1768.1602333127162,804.069003570622,166.38586465161796,21.65189190195961,1288571,5.293926372702785,12.163939744104129,1.2925170595954745,77.75070213437986,9.73,21.189286426591938,74.5448252366381,3.39,97.46145542115315,2.538544578846846,25.677902110167,61.596373036487705,8.51307378483607
19,NUEVO LEON,2718.178987275392,478.7748212927526,185.21776500569592,9.01936186054106,5610153,3.9251335926132493,9.82814550690507,1.2338166178355565,88.23620318376344,10.74,19.12004895410161,83.44629816691274,3.49,99.40812780621245,0.5918721937875471,24.62406996743226,70.37330354448443,7.786097812305654
20,OAXACA,1408.1498834465644,251.8828466019708,102.44732047766274,6.298881188379265,4143593,6.6096259936726405,13.332559447802907,1.185275677413298,79.12736603232992,8.12,29.34627025385939,70.10106928938242,3.65,90.54065576449605,9.459344235503938,27.680662651954474,62.288670726106545,9.527890408155434
21,PUEBLA,1436.7583316160571,135.5146703336886,191.08325582247485,4.920923783066905,6604451,4.544662379961635,10.391325486403034,1.0659326566280831,84.1630137009117,9.16,29.100753416143142,70.42193211820332,3.83,97.093466076722,2.90653392327801,26.96218050523806,64.81762072275198,7.813745608832588
22,QUERETARO,3342.1987798934656,336.5448095464322,203.76051099363625,5.571062410374985,2279637,4.218215443950067,10.73824472931436,1.274632759513905,87.94996747289152,10.48,21.33966942982589,82.1692225560473,3.53,98.61956926611887,1.3804307338811375,25.594557379091498,71.00634881781616,6.996420921401082
23,QUINTANA ROO,2736.384954322014,1017.0264597486506,198.92540819458944,30.407501135929078,1723259,3.8882721633834496,9.52364096168945,1.181018059386314,92.42371576182106,10.24,27.19150168372833,79.22941357044995,3.22,97.87328689166952,2.1267131083304807,26.54273095338542,75.31264888214714,4.742815792634769
24,SAN LUIS POTOSI,2651.717884180198,384.0354036890008,194.3030038288403,4.465933648786418,2866142,5.0193256300629905,11.713969510233618,1.3587603126432675,81.00404655456708,9.61,17.10606103954375,81.2050484588691,3.63,97.01119719928019,2.9888028007198013,25.3454992809149,64.19469098181459,8.860831040471826
25,SINALOA,1947.0810099490795,667.0628642678971,230.2106584335285,26.76868121320098,3156674,4.687148562062474,10.244833644525853,1.3003243287080009,80.20115475972494,10.22,18.219017865006016,77.534613963938,3.49,98.52038333395726,1.4796166660427508,23.661106595106116,63.608817381839245,8.549853421671036
26,SONORA,3001.387106898296,495.8459969851159,232.9624082647504,13.041731915980025,3074745,4.731221613499656,10.342190978438863,1.309767151422313,79.94568655286861,10.4,17.813737399361575,77.77812469001495,3.34,98.64263927068819,1.3573607293118028,23.541692075277787,64.44329529765884,7.701484188119665
27,TABASCO,3620.824581393911,830.1173236112456,175.6024891468176,11.70164915501264,2572287,5.623517126976889,9.949317475071794,1.178873119523599,77.28717674194209,9.69,29.370128605400563,63.95433324508502,3.58,96.15555286619065,3.8444471338093513,25.41057821308431,61.24705369190918,6.711498367017366
28,TAMAULIPAS,2090.4223467800653,389.0043340796943,153.09803698129787,11.121453393166387,3650602,4.647151346545035,10.57978930598296,1.2726394167318158,80.60936251062154,10.09,19.554555659587102,76.79300564673991,3.29,98.90003096001294,1.0999690399870548,23.87378848748782,64.76238713505334,7.84328173819003
29,TLAXCALA,1608.8277557207878,151.5205313580834,189.9984855193183,1.3768006197052054,1380011,3.936417898118203,10.370279657191137,0.9485431637863756,81.00333982845063,9.83,25.843344726962318,69.89792110352744,3.93,98.45657055363797,1.5434294463620208,25.21110338975559,63.3875382152751,7.201464336153843
30,VERACRUZ,1017.885300722658,277.2410139648627,128.97163912016376,8.723794365763757,8539862,5.491774925636972,12.066178586960772,1.2334157156169503,76.28164249024164,8.75,26.095035259351967,68.21577444694071,3.37,96.05270532884154,3.947294671158468,22.96176448752919,61.923295716019766,9.485422598163765
31,YUCATAN,2491.0384587122826,597.0967173624164,206.32128398148288,25.85102549778717,2259098,5.753889384170143,12.04060204559519,1.5016612825118698,84.13202968618448,9.59,22.35883525194569,80.12582898130138,3.52,97.48983793886808,2.5101620611319206,24.401110531725497,69.2123582066825,8.95321938224902
32,ZACATECAS,2081.640588901037,222.9321914084394,177.80567513949015,3.7205372455782615,1666426,5.756871292214596,12.016735216565271,1.1488658962354164,78.9414591467008,9.25,19.577106934241304,77.59474468113196,3.65,98.78384087586953,1.2161591241304677,27.532215651940138,61.19299626866119,8.505628212713916
